Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
524,142504/2,DUAL SEAT - EXPORT 4SP,1671.00,
525,142516,DUAL SEAT COVER COMP. - BULLET 350,370.00,
526,142528,"HEX.SCREW,    M5 X 12",3.00,
527,142532/B,CABLE GUIDE,10.00,
528,142582,GROMMET,4.00,
529,142596,PILLION HOLD.TUBE EXP,113.00,
530,142598,M6*55 SOCKET BOLT,18.00,
531,142604,"LOCK WASHER,INTERNAL TEETH",3.00,
532,142606,"LOCK WASHER,INTERNAL TEETH",1.00,
533,142617,CYL.HEAD GASKET 500CC,116.00,
534,142619/A, PUSHROD ASSY(IN) 500CC,319.00,
535,142620/A,PUSHROD ASSY(EX) 500CC,319.00,
536,142631,DE 24 x 21 TUBULAR SPANNER,25.00,
537,142721,TRAFFIC.BULB-12V 10W CLEAR (ELECTRA),22.00,
538,142759,HEAD LAMP BULB 12V-40/45W(P 45T CAP),127.00,
539,142761,"HEX.SCR.,    M8 X 20",3.00,
540,142770,HEAD LAMP CASING COMP W/BALL RACE,3225.00,
541,142773,IMPORTED SPARK PLUG 500,316.00,
542,142800/B,SHOCK ABSORBER,682.00,
543,142804,PISTON RING SET STD.(500CC),368.00,KIT
544,142805,"PISTON RING SET 020"" O/S(500CC)",1386.00,
545,142856/C,"LEVER,LONG",62.00,
546,142858/2,"LEVER,SHORT",36.00,
547,142863,"TRUNNION,RH",12.00,
548,142867/3,"SPRING,LONG",430.00,
549,142868,GUIDE BOTTOM,36.00,
550,142876,MUDGUARD REAR AVL/EXP 500CC - PLATED,2232.00,
551,142894/3,"HEX SCREW , M6",17.00,
552,142900/B,LINK ROD ASSY,158.00,
553,142933,FUSE  20 AMPS,9.00,
554,142970,AIR SCREW,24.00,
555,142971,'O'  RING,7.00,
556,142972,THROTTLE ADJUSTER CARB.500 CC,33.00,
557,142973, SPRING THROTTLE ADJUTER,4.00,
558,142974,GASKET,31.00,
559,142975,SPRING THROTTLE ADJU,15.00,
560,142976,PLATE,14.00,
561,142977,PISTON VALVE - 3.0 - 500 CC,219.00,
562,142978,CONNECTOR,54.00,
563,142979,'O' RING,16.00,
564,142981,'O' RING,8.00,
